Clareville,5713,175.531505,-41.007053
Browns Bay,630,174.720247,-36.714977
Foxton Beach,4815,175.237091,-40.469537
Auckland Airport,2022,174.79287,-37.00542
Howick,2010,174.922354,-36.905808
Solway,5810,175.653021,-40.967235
Waiouru,4826,175.684055,-39.472189
Spreydon,8024,172.615808,-43.549024
Meadowood,632,174.722469,-36.754962
Brooklands,8083,172.697417,-43.403695
Tangimoana,4822,175.245388,-40.292296
Stanmore Bay,932,174.742814,-36.63401
Upper Riccarton,8041,172.570001,-43.530266
Kensington,7910,171.244582,-44.41125
Tainui,9013,170.524701,-45.898907
Picton,7220,173.997199,-41.301553
Hawthorndale,9810,168.380599,-46.411346
Freemans Bay,1011,174.749018,-36.853582
Wakatu,7011,173.255808,-41.303302
Waihi Beach,3611,175.943559,-37.416232
Onekawa Industrial,4110,176.880782,-39.499947
Wakefield,7025,173.046818,-41.402345
Grandview Heights,3200,175.225271,-37.783131
Timberlea,5018,175.102532,-41.106717
Riverdale,4010,177.999144,-38.644491
Nikau Valley,5032,175.032296,-40.912604
Te Rapa Park,3200,175.22017,-37.734206
Balclutha,9230,169.727601,-46.244463
Bluff,9814,168.347359,-46.603739
Kaikorai,9010,170.486706,-45.867777
Roslyn,9010,170.486706,-45.867777
Victoria,3010,176.238699,-38.142689
Haywards,5018,174.977251,-41.156222
Papakowhai,5024,174.863214,-41.111553
Herne Bay,1011,174.725608,-36.846406
Invercargill West,9810,168.343485,-46.420178
Nightcaps,9630,168.033142,-45.973255
Lynmouth,4310,174.049258,-39.064323
Bellevue,3110,176.126409,-37.680586
Ferndale,4310,174.06686,-39.084252
Ohope,3121,177.10505,-37.981559
Wadestown,6012,174.781784,-41.261931
Annesbrook,7011,173.244208,-41.298498
Middleton,8024,172.585176,-43.545659
Waiuku,2123,174.734376,-37.260205
Naenae,5011,174.951589,-41.202523
Westown,4310,174.062112,-39.078823
Gonville,4500,175.037511,-39.939483
Tauranga,3110,176.169307,-37.680412
Papanui,8053,172.593499,-43.500976
Rosedale,632,174.73088,-36.74248
Bay View,4104,176.879645,-39.407811
Melrose,6023,174.787897,-41.321459
Addington,8024,172.627922,-43.541036
Wainuiomata,5014,174.955926,-41.248342
Tamatea,4112,176.86543,-39.512602
Normanby,9010,170.542235,-45.84418
Windsor,9810,168.366204,-46.400589
Morningside,110,174.318433,-35.736898
Kowhai Park,4500,175.055788,-39.922578
Wanganui East,4500,175.055788,-39.922578
Clinton,9534,169.379756,-46.201339
Waitakere,614,174.541089,-36.859842
Turangi,3334,175.802159,-38.984786
Birkenhead,626,174.729323,-36.808812
Dargaville,310,173.886873,-35.984042
Chedworth,3210,175.285729,-37.749984
Pipitea,6011,174.785931,-41.268393
Raumati South,5032,174.977454,-40.926393
Castlecliff,4501,174.98231,-39.939993
Orakei,1071,174.827665,-36.852501
Welbourn,4312,174.093592,-39.069939
Miramar,6022,174.816881,-41.319873
Glen Innes,1072,174.854128,-36.87691
Regent,112,174.320936,-35.718662
Northcote,8052,172.615054,-43.490639
Sumner,8081,172.77512,-43.576769
Ranui Heights,5024,174.845206,-41.146871
Hope,7020,173.144632,-41.324496
Hampden,9410,170.811334,-45.324312
Woodend,7610,172.663355,-43.316903
Meadowbank,1072,174.828771,-36.870937
Red Hill,2110,174.972265,-37.072163
Glenwood,7910,171.205,-44.387309
Lyall Bay,6022,174.797096,-41.327457
Brooklyn,6021,174.76106,-41.302349
Kawaha Point,3010,176.234475,-38.107644
Opua,200,174.105606,-35.307099
Sandringham,1025,174.740406,-36.888919
Sandringham,1041,174.740406,-36.888919
Kingsley Heights,5018,175.084857,-41.125514
Tirohanga,5010,174.898618,-41.197395
Sunnynook,620,174.732572,-36.755296
Titirangi,604,174.651365,-36.960165
Beachlands,2018,175.005856,-36.883679
Te Puke,3119,176.316145,-37.798263
Redcliffs,8081,172.755289,-43.567634
Mapua,7005,173.095032,-41.252751
Camborne,5026,174.872318,-41.085698
Mt Pleasant,8081,172.721504,-43.557892
Grafton,1023,174.765708,-36.86445
Ohakune,4625,175.405224,-39.415088
Fernhill,9300,168.625146,-45.042662
Sunshine Bay,9300,168.625146,-45.042662
Frimley,4120,176.826078,-39.618979
Carters Beach,7825,171.560539,-41.748899
Wairau Valley,627,174.735489,-36.783789
Waverley,9013,170.532572,-45.887512
St Andrews,3200,175.257816,-37.746791
Oakura,4314,173.947495,-39.117563
Wilton,6012,174.762756,-41.269503
Ardgowan,9400,170.968699,-45.056308
Manly,930,174.754172,-36.629872
Kensington,9012,170.49587,-45.890094
Bishopdale,8053,172.593352,-43.491761
Heathcote Valley,8022,172.699836,-43.573093
Titahi Bay,5022,174.834031,-41.115752
Pahurehure,2113,174.941398,-37.071585
Prebbleton,7604,172.510768,-43.581428
Rothesay Bay,630,174.74455,-36.718508
Kew,9812,168.359293,-46.443668
Runanga,7803,171.260158,-42.395537
Waipu,510,174.444427,-35.987162
Greerton,3112,176.131096,-37.732898
Mangere South,2022,174.799728,-36.978527
Piopio,3912,175.008464,-38.514049
Toi Toi,7010,173.262358,-41.292585
Boulcott,5010,174.919683,-41.201828
New Plymouth Central,4310,174.072564,-39.057244
Ngongotaha,3010,176.212734,-38.07469
Grenada Village,6037,174.824272,-41.206122
Pinehill,632,174.720003,-36.726224
Arkles Bay,932,174.749835,-36.63793
Farm Cove,2012,174.880249,-36.893113
Mt Cook,6011,174.772721,-41.299308
Clifton,9812,168.363058,-46.450814
Wellsford,900,174.52346,-36.287723
Parau,604,174.615089,-36.975018
Carterton,5713,175.531162,-41.022765
Woodhill,110,174.311679,-35.732068
Arapuni,3415,175.649714,-38.070617
Dobson,7805,171.395082,-42.513116
Alexandra,9320,169.392502,-45.241796
Te Aroha,3320,175.697011,-37.550383
Woolston,8062,172.678035,-43.53945
Aramoho,4500,175.064482,-39.896569
Holmes Hill,9401,170.944999,-45.100315
